Applied at,Amount,Age,Gender,Industry,Marital status,External Rating,Education level,Location,applicant_id
11.30.2022 10:28:21,19800.0,29,Чоловік,Edtech / Education,Single,0.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,9db8b1c7ed0fc6e3fe79a41ac3468442
11.30.2022 10:28:27,2550.0,20,Чоловік,Legal,Married,1.0,Ще студент вишу,Івано-Франківськ чи область,0c792f52f2bf30cdfee53b24b912678a
11.30.2022 10:28:28,18000.0,33,Чоловік,Big Data,Single,10.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,28165b1a85ee2e48782cada5f2a660b4
11.30.2022 10:28:39,3000.0,27,Чоловік,Logistics,Married,3.0,"Вища (бакалавр, спеціаліст, магістр)",Тернопіль чи область,08323c66f5d8d1e8633aef4f9c9a7cdd
11.30.2022 10:29:59,4500.0,26,Чоловік,Data Science,Single,2.0,"Вища (бакалавр, спеціаліст, магістр)",Вінниця чи область,7f6ed0258ca70666d3d64fc654462324
11.30.2022 10:29:59,9000.0,30,Чоловік,Fintech / Banking,Single,6.0,"Вища (бакалавр, спеціаліст, магістр)",Кропивницький чи область,2c50625df2b0c07a13820b0a983df204
11.30.2022 10:30:00,,22,Чоловік,Blockchain,Single,2.0,Ще студент вишу,,bef0a5ba4df413cb8e1e3edeaf1f7de3
11.30.2022 10:30:04,2400.0,31,Чоловік,Big Data,Single,3.0,"Вища (бакалавр, спеціаліст, магістр)",Чернігів чи область,7f67e8e7d0e75beea57e6c6a3c8e263c
11.30.2022 10:30:15,2100.0,19,Жінка,Dating,Single,3.0,Ще студент вишу,Київ чи область,a19705b6389857fd0a8622fd73465ad9
11.30.2022 10:30:21,3300.0,23,Чоловік,Mobile,Married,1.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,73efa989811be143c4a3cfd9a11c5d3e
11.30.2022 10:30:23,22500.0,29,Чоловік,Fintech / Banking,Married,8.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,8edcdc7c601a6178f2d6f7d442422162
11.30.2022 10:30:30,,26,Жінка,E-commerce,Married,2.0,"Вища (бакалавр, спеціаліст, магістр)",,95426d87a2e15412539a89f4088b4f2c
11.30.2022 10:30:33,31800.0,24,Чоловік,Data Science,Single,5.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,667ad8fdbc1d5eef8e3eb93aee98298d
11.30.2022 10:30:34,4500.0,21,Жінка,Insurance,Married,2.0,"Вища (бакалавр, спеціаліст, магістр)",Харків чи область,1b850ac7a235a2a5dbddc626ab4c9508
11.30.2022 10:30:36,3600.0,22,Чоловік,Fintech / Banking,Single,2.0,"Вища (бакалавр, спеціаліст, магістр)",Рівне чи область,ad43591894c7cafbc867c0c4dbd65067
11.30.2022 10:30:46,9900.0,36,Чоловік,ERP,Single,4.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,76fdc484c0eaee40e21d199e22478ec4
11.30.2022 10:30:53,,22,Чоловік,Adtech / Advertising,Single,1.0,"Вища (бакалавр, спеціаліст, магістр)",,6f4daf49ed79c8f1f7db318aa5990ca4
11.30.2022 10:31:08,15000.0,34,Чоловік,Fintech / Banking,Married,4.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,8bec46fa1bbccaec904339986272b282
11.30.2022 10:31:11,7200.0,18,Чоловік,Gambling,Single,2.0,Ще студент вишу,Львів чи область,53515bae8a79a6d496beda7b998f7218
11.30.2022 10:31:17,5400.0,30,Чоловік,Machine Learning,Married,5.0,"Вища (бакалавр, спеціаліст, магістр)",Запоріжжя чи область,895dafb15c21a18fd58ab57c8062aa6a
11.30.2022 10:31:29,12000.0,29,Чоловік,Blockchain,Other,8.0,"Вища (бакалавр, спеціаліст, магістр)",Івано-Франківськ чи область,99e7b0dc6cc05dd334d8f38dc26ce9b3
11.30.2022 10:31:40,6300.0,32,Чоловік,Fintech / Banking,Married,11.0,"Вища (бакалавр, спеціаліст, магістр)",Дніпро чи область,9ee700d0af4119638877b7b2ef68a1ae
11.30.2022 10:31:50,13500.0,35,Чоловік,E-commerce,Single,4.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,3c78b370ab0bd3fd90f2f6955916cefb
11.30.2022 10:31:58,7800.0,22,Чоловік,Agriculture,Married,2.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,1f29c135d43f472080b2178b59e28b60
11.30.2022 10:31:59,13500.0,33,Чоловік,Gambling,Single,5.0,"Вища (бакалавр, спеціаліст, магістр)",Чернігів чи область,3ed4dd79a1294ec51ea52f1ea91eebc5
11.30.2022 10:32:26,2550.0,25,Чоловік,GameDev,Married,3.0,"Вища (бакалавр, спеціаліст, магістр)",Чернівці чи область,d7d3b9eb93104bb16420a9e27ff02814
11.30.2022 10:32:32,10800.0,34,Чоловік,Medtech / Healthcare,Married,4.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,2f863526b983e8b36c7dfc6f20f2cf3d
11.30.2022 10:32:35,10575.0,25,Чоловік,Medtech / Healthcare,Single,6.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,7d13f7e02b7ea2168b8b70aca0fe4e92
11.30.2022 10:32:35,15000.0,35,Чоловік,Інша,Married,8.0,"Вища (бакалавр, спеціаліст, магістр)",Дніпро чи область,695a67db3ff6eb1132ee9fff28d7d264
11.30.2022 10:32:48,9900.0,25,Чоловік,E-commerce,Married,3.0,"Вища (бакалавр, спеціаліст, магістр)",Суми чи область,bedaa34a4ddffa84b3ff552335a0fd63
11.30.2022 10:33:12,4800.0,24,Чоловік,ERP,Married,4.0,Середня спеціальна,Суми чи область,0485e461eb206a49ee44f86021bd923b
11.30.2022 10:33:16,18000.0,25,Чоловік,Media,Single,6.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,9b136701c98a9ecad79c690bb3888d8d
11.30.2022 10:33:16,7200.0,32,Чоловік,Logistics,Married,8.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,922323d34ff988fe743984b4e82331e6
11.30.2022 10:33:20,9600.0,33,Чоловік,Mobile,Married,3.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,4398a2ba372533422b001e0058b1d3e7
11.30.2022 10:33:27,1710.0,28,Чоловік,E-commerce,Married,0.0,"Вища (бакалавр, спеціаліст, магістр)",Одеса чи область,077d90ba537c8015f8490b3018bc5194
11.30.2022 10:33:32,15000.0,29,Чоловік,Cloud Computing,Married,7.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,6e0bdff7bf3490a1414f2cec776a8470
11.30.2022 10:33:38,9900.0,26,Чоловік,Інша,Married,3.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,15b182a35f1a732bd48b88c8f6b230c7
11.30.2022 10:33:49,4200.0,35,Чоловік,Інша,Single,3.0,"Вища (бакалавр, спеціаліст, магістр)",Вінниця чи область,348545c5cf5cacbd8a6771089f850105
11.30.2022 10:33:53,19500.0,34,Чоловік,Embedded,Single,7.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,c86f5cce3110d23c80ff7ea095337579
11.30.2022 10:34:00,,21,Чоловік,Travel,Single,3.0,"Вища (бакалавр, спеціаліст, магістр)",,c0eb09b310421a4368aa2ea758fa51c5
11.30.2022 10:34:02,2550.0,19,Чоловік,E-commerce,Married,1.0,Ще студент вишу,Івано-Франківськ чи область,40886744ea61e8a3f2277e43dbc6c7c5
11.30.2022 10:34:12,12600.0,26,Чоловік,Travel,Married,5.0,"Вища (бакалавр, спеціаліст, магістр)",Вінниця чи область,50391d27759b7b9bd1e4a7bd77ce4c69
11.30.2022 10:34:18,13500.0,34,Чоловік,Insurance,Married,5.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,7cb3e759e79aaf353ad88ec2c20f2868
11.30.2022 10:34:22,9600.0,28,Чоловік,Інша,Single,4.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,2d296fbe1f9289559ae6459dd62c1a5d
11.30.2022 10:34:25,5100.0,26,Чоловік,Media,Married,1.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,cd21351d639e971d6f8a4c8cd56efd6e
11.30.2022 10:34:31,15960.0,31,Чоловік,E-commerce,Single,8.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,fc04b3aadcd877960fa89b39a8431e7b
11.30.2022 10:34:41,18000.0,35,Чоловік,Adtech / Advertising,Married,8.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,8ad7455e2f613b638f594542e9a8b65c
11.30.2022 10:34:44,3300.0,20,Жінка,Fintech / Banking,Married,1.0,Ще студент вишу,Київ чи область,4d19f4ea66fce05d3ef3c0486f46ef25
11.30.2022 10:34:47,15900.0,30,Жінка,E-commerce,Married,4.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,5260bcaa8c2b96f5882db391f2b8819f
11.30.2022 10:34:53,2400.0,31,Чоловік,E-commerce,Married,1.0,"Вища (бакалавр, спеціаліст, магістр)",Дніпро чи область,5bcf81c378545430ddecfd5d14e11329
11.30.2022 10:34:55,18000.0,35,Чоловік,Fintech / Banking,Single,15.0,"Вища (бакалавр, спеціаліст, магістр)",Дніпро чи область,eacccf60c0d30d65219578fa38826f35
11.30.2022 10:35:01,4470.0,37,Чоловік,Інша,Single,6.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,0e0f96e48a975444658df8e5e4f8cd36
11.30.2022 10:35:07,8400.0,32,Чоловік,E-commerce,Single,3.0,Середня,Кропивницький чи область,d986f1c353af2abf313eb3ded530585e
11.30.2022 10:35:09,2400.0,20,Жінка,Medtech / Healthcare,Married,1.0,Ще студент вишу,Львів чи область,ea8a9f879042e494a3d9608b0280c775
11.30.2022 10:35:16,13500.0,28,Чоловік,Gambling,Single,4.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,fdc47ac5443fd3765e74f4c0ecdba184
11.30.2022 10:35:23,3750.0,23,Жінка,E-commerce,Married,2.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,fa77a1bc36a649350fcf58ea744d3add
11.30.2022 10:35:35,,34,Чоловік,ERP,Married,10.0,"Вища (бакалавр, спеціаліст, магістр)",,1851c6d8a44d4ff19d67b0a0bd433d2c
11.30.2022 10:35:38,8100.0,43,Чоловік,ERP,Single,10.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,37fe4464d608a4499fb6e32319abbd5a
11.30.2022 10:35:53,14100.0,29,Чоловік,Media,Married,5.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,3a2e473ddfd9d22ff6ab9dab62e4514d
11.30.2022 10:35:59,12600.0,30,Чоловік,Security,Single,5.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,ab06da70fb715ca59d0f4838cd339144
11.30.2022 10:36:15,3900.0,22,Жінка,E-commerce,Married,2.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,75778ff94b57b843ecf698d558e00bd1
11.30.2022 10:36:22,7500.0,25,Чоловік,Fintech / Banking,Married,2.0,Дві вищі,Київ чи область,91e11c517fc0ac219063c77a2143ed24
11.30.2022 10:36:23,4500.0,44,Чоловік,E-commerce,Married,10.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,7f26fcf56a9179a42449634482678bed
11.30.2022 10:36:24,,28,Чоловік,E-commerce,Married,6.0,Дві вищі,,8e93d42f181f1b4428ae621048615382
11.30.2022 10:36:24,1200.0,19,Чоловік,Retail,Married,0.0,Ще студент вишу,Київ чи область,24a6484b7574bb0c6cb5e070e4ce378b
11.30.2022 10:36:44,6000.0,35,Чоловік,GameDev,Single,1.0,Дві вищі,Черкаси чи область,ee3256bc9b13dc4ce6e584ca59e39e58
11.30.2022 10:36:46,1200.0,26,Чоловік,ERP,Single,1.0,Середня,Рівне чи область,ea798b1805d88da79b19f09ca9e3c434
11.30.2022 10:36:52,4731.0,20,Чоловік,Manufacturing,Single,1.0,Ще студент вишу,Київ чи область,2f50d171fd684bf853e12c249c0d090a
11.30.2022 10:36:56,,37,Жінка,Retail,Single,10.0,"Вища (бакалавр, спеціаліст, магістр)",,24ed170c799efd4f1cf2491af757264b
11.30.2022 10:36:59,30000.0,29,Чоловік,Blockchain,Single,7.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,d85404bd5576f05b711ad56cad428463
11.30.2022 10:37:33,19800.0,29,Чоловік,Security,Married,7.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,4f04e369961878ea3799e0a8192347aa
11.30.2022 10:37:46,,27,Чоловік,E-commerce,Single,5.0,"Вища (бакалавр, спеціаліст, магістр)",,83f312711d49f91eda2ffa6b1777a84c
11.30.2022 10:37:58,1650.0,25,Чоловік,Gambling,Married,3.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,0c2c332e7fbe4bb97fd438a7a424729f
11.30.2022 10:37:59,16800.0,32,Чоловік,E-commerce,Married,12.0,"Вища (бакалавр, спеціаліст, магістр)",Чернівці чи область,5f4c1efdab93622eeb438e927b92e5f7
11.30.2022 10:38:01,2850.0,24,Чоловік,E-commerce,Married,,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,2ba1eb28088c5b35d5689ebc31e2d24c
11.30.2022 10:38:26,10650.0,26,Чоловік,E-commerce,Single,5.0,"Вища (бакалавр, спеціаліст, магістр)",Суми чи область,11285b23f7b567751e41101289ea313b
11.30.2022 10:38:30,6000.0,23,Чоловік,Fintech / Banking,Married,2.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,efdeadcbbb64e7ca0f1bfcf3cd46e43d
11.30.2022 10:38:39,5400.0,34,Чоловік,Logistics,Single,4.0,"Вища (бакалавр, спеціаліст, магістр)",Одеса чи область,94d33ea0cf2001f4b58b412e0622b5e7
11.30.2022 10:38:41,9900.0,26,Жінка,Machine Learning,Married,6.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,06884678372f17428838687fd9f559a0
11.30.2022 10:38:52,14250.0,26,Чоловік,Edtech / Education,Married,5.0,"Вища (бакалавр, спеціаліст, магістр)",Чернівці чи область,453f529ab53aaed1c43b6b3874fe76c4
11.30.2022 10:39:26,13500.0,39,Чоловік,Data Science,Married,7.0,Дві вищі,Львів чи область,d2fa7e8eb37a817300ac36dcd1bf7f5f
11.30.2022 10:39:31,5400.0,23,Чоловік,Інша,Married,2.0,Середня,Київ чи область,57b5cab7cfc693b88f089304b9bf01f8
11.30.2022 10:39:42,3000.0,21,Чоловік,E-commerce,Single,1.0,Ще студент вишу,Луцьк чи Волинська область,848ef1aa2e6cc14b5c90a437e45ec17f
11.30.2022 10:39:44,,33,Чоловік,Fintech / Banking,Single,10.0,"Вища (бакалавр, спеціаліст, магістр)",,65b30271b71b168dc055cac4d8ecdf22
11.30.2022 10:39:44,5400.0,24,Чоловік,E-commerce,Married,3.0,"Вища (бакалавр, спеціаліст, магістр)",Луцьк чи Волинська область,5719d8492ed9f55933ae98c120f1e247
11.30.2022 10:39:47,,20,Чоловік,Fintech / Banking,Married,0.0,"Вища (бакалавр, спеціаліст, магістр)",,189d0e8fe2ff205f2641b30878b529e0
11.30.2022 10:40:06,6600.0,23,Чоловік,E-commerce,Married,2.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,29a3b55cd049d1c7ca0acd203dd45e48
11.30.2022 10:40:08,4200.0,22,Чоловік,Adtech / Advertising,Single,2.0,Ще студент вишу,Київ чи область,1f051f1df5453aa5ef342e4b10dc9e0b
11.30.2022 10:40:09,13500.0,35,Чоловік,Media,Married,4.0,"Вища (бакалавр, спеціаліст, магістр)",Дніпро чи область,075d0a3be05c3a529d012d8b733c5821
11.30.2022 10:40:27,16500.0,31,Жінка,Fintech / Banking,Single,11.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,0c551b881765f287d574df9de9299f47
11.30.2022 10:40:27,5550.0,33,Чоловік,Public services / Government,Married,1.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,e38029f72c8e05d3809c39d1fe5c1077
11.30.2022 10:40:30,15600.0,28,Чоловік,E-commerce,Married,6.0,"Вища (бакалавр, спеціаліст, магістр)",Харків чи область,74b784afafad8cb5957476b98d689f93
11.30.2022 10:40:58,9120.0,26,Жінка,Insurance,Married,4.0,"Вища (бакалавр, спеціаліст, магістр)",Чернівці чи область,95392ec28f9236aba91fbc7473ea7e2a
11.30.2022 10:41:12,9900.0,24,Чоловік,Machine Learning,Single,3.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,914ab4757f8c4817f8747d825f030837
11.30.2022 10:41:20,2400.0,27,Жінка,Інша,Married,1.0,"Вища (бакалавр, спеціаліст, магістр)",Дніпро чи область,16288a08b07604849fc4825999ea56a6
11.30.2022 10:41:23,15300.0,29,Чоловік,Fintech / Banking,Single,8.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,187b84d4fec1e92ef3b93c2c6b38edd7
11.30.2022 10:41:27,6750.0,22,Чоловік,Medtech / Healthcare,Married,3.0,"Вища (бакалавр, спеціаліст, магістр)",Івано-Франківськ чи область,829ec7ea9eac5085c1244d5d07297ed6
11.30.2022 10:41:53,19350.0,29,Чоловік,Mobile,Married,10.0,Дві вищі,Львів чи область,5b5ff4983c7aa75534362fd446fcbbcf
11.30.2022 10:42:16,12000.0,28,Чоловік,E-commerce,Married,5.0,"Вища (бакалавр, спеціаліст, магістр)",Ужгород чи Закарпатська область,2aa25422dd87ec49e5c84517d766ddfd
11.30.2022 10:42:17,6000.0,28,Жінка,Fintech / Banking,Married,3.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,0a78e86100ae600a4934ea082e68eddc
11.30.2022 10:42:20,10500.0,24,Чоловік,ERP,Married,2.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,d718456de4bc130af2dc5bfb10fb60a5
11.30.2022 10:42:32,1200.0,20,Чоловік,Automotive,Other,3.0,Ще студент вишу,Львів чи область,d3781eda14984b5bfee109b59f531bf4
11.30.2022 10:43:09,5700.0,30,Чоловік,Retail,Single,2.0,"Вища (бакалавр, спеціаліст, магістр)",Дніпро чи область,6924ab581f907ed89b2c1392c1bf8526
11.30.2022 10:43:19,18000.0,28,Чоловік,Fintech / Banking,Single,7.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,86ea7dc38c315a4ec4cf6d1b02529071
11.30.2022 10:43:21,13200.0,28,Чоловік,E-commerce,Married,6.0,Середня спеціальна,Київ чи область,802651b748aeb144068e9a43934f413f
11.30.2022 10:43:29,,24,Жінка,Інша,Married,4.0,"Вища (бакалавр, спеціаліст, магістр)",,2692473b82c5510d95630a717e72dba8
11.30.2022 10:43:32,4500.0,28,Чоловік,E-commerce,Married,2.0,"Вища (бакалавр, спеціаліст, магістр)",Харків чи область,80298f4a05f8b5e491f3682a0e2e1552
11.30.2022 10:43:37,10650.0,26,Чоловік,E-commerce,Single,8.0,Середня спеціальна,Дніпро чи область,3c5c5ad004d841d820db64283aa238c3
11.30.2022 10:43:44,19500.0,33,Чоловік,Fintech / Banking,Single,8.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,538b035b88c714aa90c50d9287c3992b
11.30.2022 10:43:55,13500.0,26,Чоловік,Adtech / Advertising,Married,5.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,43c6124793b8e234a9b7f026fc9366f4
11.30.2022 10:44:17,8595.0,26,Жінка,Adtech / Advertising,Single,5.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,6ee135194085b9b2122c2f23e112119e
11.30.2022 10:44:25,6000.0,30,Жінка,Logistics,Married,10.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,99c9945cfd07de54cd08d19eb62025db
11.30.2022 10:44:28,16050.0,50,Чоловік,Blockchain,Other,15.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,667563fc9922d71c7c2bfa8e9fba9fbc
11.30.2022 10:44:41,11100.0,24,Чоловік,E-commerce,Married,5.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,6baaa3ef36031038ec4ed25cbec013f2
11.30.2022 10:44:46,10500.0,30,Чоловік,Gambling,Single,6.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,49c4c66825aae0267886fb6d9c5e5749
11.30.2022 10:45:02,,39,Чоловік,E-commerce,Married,5.0,"Вища (бакалавр, спеціаліст, магістр)",,de0b1816b11032354e86077eb0d59f4d
11.30.2022 10:45:32,7500.0,28,Чоловік,Media,Married,2.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,eb05eb2ad925655bdd0b5bd8af9fc9f5
11.30.2022 10:45:41,11100.0,24,Жінка,Logistics,Married,4.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,7fc69768f8d9b050925c01163ad5122d
11.30.2022 10:45:45,,27,Чоловік,E-commerce,Married,10.0,"Вища (бакалавр, спеціаліст, магістр)",,a3fd5f3f8c53fd7b5c115078437ea5e0
11.30.2022 10:45:48,,31,Чоловік,Adtech / Advertising,Married,1.0,"Вища (бакалавр, спеціаліст, магістр)",,dcfb8efcfeb85ad5cf89f70e3780f358
11.30.2022 10:46:12,,25,Чоловік,Fintech / Banking,Married,6.0,"Вища (бакалавр, спеціаліст, магістр)",,4d9e28861975cf62027c701f3f917c1a
11.30.2022 10:46:30,8550.0,40,Чоловік,Blockchain,Married,1.0,"Вища (бакалавр, спеціаліст, магістр)",Одеса чи область,056d0a80808828a4d4017224fd17491e
11.30.2022 10:46:31,3000.0,25,Жінка,E-commerce,Married,1.0,Дві вищі,Львів чи область,8445b221f2d79c036d8a789640a68115
11.30.2022 10:46:46,9600.0,28,Жінка,Manufacturing,Married,4.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,5da58e47e36d5b210879e8d2a4de1b71
11.30.2022 10:46:53,18450.0,30,Чоловік,Adtech / Advertising,Married,8.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,674f25d8bc9fb55be6931863bc4b826b
11.30.2022 10:47:08,2040.0,24,Жінка,Інша,Single,1.0,Ще студент вишу,Одеса чи область,ecd823b0a699f4b96ed768f5f086579f
11.30.2022 10:47:15,6300.0,23,Чоловік,Fintech / Banking,Married,2.0,"Вища (бакалавр, спеціаліст, магістр)",Дніпро чи область,048a5bced5f3312b2394c28ccf34d2b3
11.30.2022 10:47:22,7800.0,21,Чоловік,Medtech / Healthcare,Single,1.0,"Вища (бакалавр, спеціаліст, магістр)",Полтава чи область,093269b0a61d3cccfba04b31fff9c61a
11.30.2022 10:47:29,6507.0,35,Чоловік,E-commerce,Single,5.0,"Вища (бакалавр, спеціаліст, магістр)",Дніпро чи область,7b456af1902ada09ef94291e5f2d47a4
11.30.2022 10:47:39,4050.0,21,Чоловік,Legal,Married,1.0,Ще студент вишу,Львів чи область,4dd45709ca85b0fcf55d2cf0f1cfabad
11.30.2022 10:47:43,22500.0,26,Чоловік,Big Data,Married,6.0,Середня,Львів чи область,2d5d8e21623ab9928535e06b7eb9a627
11.30.2022 10:48:16,7500.0,27,Чоловік,Fintech / Banking,Married,3.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,1d4c8982f6b17573e0672a3cf8f3c2ea
11.30.2022 10:48:28,2100.0,30,Чоловік,Інша,Married,1.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,27248d07af0ae71f51c330f5a74b90eb
11.30.2022 10:48:32,6666.0,26,Чоловік,Gambling,Single,1.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,5e5bff836b6ec01df03878187fd7fc12
11.30.2022 10:48:36,8400.0,27,Чоловік,Blockchain,Married,6.0,"Вища (бакалавр, спеціаліст, магістр)",Черкаси чи область,56f735f424804136be23a2c0cce2ac65
11.30.2022 10:48:58,5400.0,19,Чоловік,Blockchain,Married,1.0,Ще студент вишу,Дніпро чи область,a4ba22c3ed6b416d74a4c348a1b83e21
11.30.2022 10:49:01,3900.0,21,Чоловік,Security,Married,1.0,"Вища (бакалавр, спеціаліст, магістр)",Львів чи область,4cfe2ea93a0fcd827e31dbbce0aa11f0
11.30.2022 10:49:02,,27,Чоловік,Fintech / Banking,Single,8.0,Середня спеціальна,,6f6dbcb273590c666c1ada1af858f050
11.30.2022 10:49:16,,25,Чоловік,Fintech / Banking,Married,1.0,"Вища (бакалавр, спеціаліст, магістр)",,45dae1a3292a09aa1d64d322b3c39da0
11.30.2022 10:49:39,,23,Чоловік,Hardware,Married,3.0,"Вища (бакалавр, спеціаліст, магістр)",,d68acfaadf70229c336f6f2866b2d9fd
11.30.2022 10:49:50,9000.0,36,Жінка,Embedded,Single,10.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,a390686609ed1cccb192b6cd0abc7ed8
11.30.2022 10:49:54,15000.0,26,Чоловік,Medtech / Healthcare,Single,5.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,e2ebf4c5e4df2a18bcca3b7e44f0b441
11.30.2022 10:50:21,7500.0,26,Чоловік,Fintech / Banking,Single,4.0,Середня,Київ чи область,f48cbbad6b8d5fbe50844453a2c1e5c6
11.30.2022 10:50:22,15000.0,21,Чоловік,Blockchain,Married,2.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,a81709423dab2becccc2cffa5ed16b89
11.30.2022 10:50:24,10800.0,25,Жінка,Fintech / Banking,Married,6.0,"Вища (бакалавр, спеціаліст, магістр)",Київ чи область,3f830fd03dce4d1e5828933546978768
11.30.2022 10:50:29,,36,Чоловік,Manufacturing,Married,11.0,"Вища (бакалавр, спеціаліст, магістр)",,a24675f92e228c01f559c22a1d1d3c0c
11.30.2022 10:50:46,2850.0,27,Чоловік,Medtech / Healthcare,Married,0.0,"Вища (бакалавр, спеціаліст, магістр)",Одеса чи область,59489a793fad181d27c25752c02dc5e7
